cid,都道府県名,市町村名,住居表示実施状況,調査年月日,実施状況公開URL,公開形式,国土地理院住居表示住所デジタルデータURL,MEMO
1399,北海道,京極町,未実施,2021/09/30,none,none,none,
1401,北海道,共和町,未実施,2021/09/30,none,none,none,
1402,北海道,岩内町,未実施,2021/09/30,none,none,none,
1403,北海道,泊村,未実施,2021/09/30,none,none,none,
1404,北海道,神恵内村,未実施,2021/09/30,none,none,none,
1405,北海道,積丹町,未実施,2021/09/30,none,none,none,
1406,北海道,古平町,未実施,2021/09/30,none,none,none,
1407,北海道,仁木町,未実施,2021/09/30,none,none,none,
1408,北海道,余市町,未実施,2021/09/30,none,none,none,
1409,北海道,赤井川村,未実施,2021/09/30,none,none,none,
1424,北海道,奈井江町,未実施,2021/09/30,none,none,none,
1425,北海道,上砂川町,未実施,2021/09/30,none,none,none,
1427,北海道,由仁町,未実施,2021/09/30,none,none,none,
1429,北海道,栗山町,未実施,2021/09/30,none,none,none,
1430,北海道,月形町,未実施,2021/09/30,none,none,none,
1431,北海道,浦臼町,未実施,2021/09/30,none,none,none,
1432,北海道,新十津川町,未実施,2021/09/30,none,none,none,
1433,北海道,妹背牛町,未実施,2021/09/30,none,none,none,
1434,北海道,秩父別町,未実施,2021/09/30,none,none,none,
1436,北海道,雨竜町,未実施,2021/09/30,none,none,none,
1437,北海道,北竜町,未実施,2021/09/30,none,none,none,
1456,北海道,愛別町,未実施,2021/09/30,none,none,none,
1457,北海道,上川町,未実施,2021/09/30,none,none,none,
1462,北海道,南富良野町,未実施,2021/09/30,none,none,none,
1463,北海道,占冠村,未実施,2021/09/30,none,none,none,
1464,北海道,和寒町,未実施,2021/09/30,none,none,none,
1468,北海道,下川町,未実施,2021/09/30,none,none,none,
1469,北海道,美深町,未実施,2021/09/30,none,none,none,
1470,北海道,音威子府村,未実施,2021/09/30,none,none,none,
1471,北海道,中川町,未実施,2021/09/30,none,none,none,
1472,北海道,幌加内町,未実施,2021/09/30,none,none,none,
1481,北海道,増毛町,未実施,2021/09/30,none,none,none,
1482,北海道,小平町,未実施,2021/09/30,none,none,none,
1483,北海道,苫前町,未実施,2021/09/30,none,none,none,
1484,北海道,羽幌町,未実施,2021/09/30,none,none,none,
1485,北海道,初山別村,未実施,2021/09/30,none,none,none,
1486,北海道,遠別町,未実施,2021/09/30,none,none,none,
1487,北海道,天塩町,未実施,2021/09/30,none,none,none,
1511,北海道,猿払村,未実施,2021/09/30,none,none,none,
1512,北海道,浜頓別町,未実施,2021/09/30,none,none,none,
1513,北海道,中頓別町,未実施,2021/09/30,none,none,none,
1514,北海道,枝幸町,未実施,2021/09/30,none,none,none,
1516,北海道,豊富町,未実施,2021/09/30,none,none,none,
1517,北海道,礼文町,未実施,2021/09/30,none,none,none,
1518,北海道,利尻町,未実施,2021/09/30,none,none,none,
1519,北海道,利尻富士町,未実施,2021/09/30,none,none,none,
1520,北海道,幌延町,未実施,2021/09/30,none,none,none,
1543,北海道,美幌町,未実施,2021/09/30,none,none,none,
1544,北海道,津別町,未実施,2021/09/30,none,none,none,
1545,北海道,斜里町,未実施,2021/09/30,none,none,none,
1546,北海道,清里町,未実施,2021/09/30,none,none,none,
1549,北海道,訓子府町,未実施,2021/09/30,none,none,none,
1550,北海道,置戸町,未実施,2021/09/30,none,none,none,
1552,北海道,佐呂間町,未実施,2021/09/30,none,none,none,
1555,北海道,遠軽町,未実施,2021/09/30,none,none,none,
1559,北海道,湧別町,未実施,2021/09/30,none,none,none,
1560,北海道,滝上町,未実施,2021/09/30,none,none,none,
1561,北海道,興部町,未実施,2021/09/30,none,none,none,
1562,北海道,西興部村,未実施,2021/09/30,none,none,none,
1563,北海道,雄武町,未実施,2021/09/30,none,none,none,
1571,北海道,豊浦町,未実施,2021/09/30,none,none,none,
1575,北海道,壮瞥町,未実施,2021/09/30,none,none,none,
1581,北海道,厚真町,未実施,2021/09/30,none,none,none,
1584,北海道,洞爺湖町,未実施,2021/09/30,none,none,none,
1585,北海道,安平町,未実施,2021/09/30,none,none,none,
1586,北海道,むかわ町,未実施,2021/09/30,none,none,none,
1602,北海道,平取町,未実施,2021/09/30,none,none,none,
1604,北海道,新冠町,未実施,2021/09/30,none,none,none,
1608,北海道,様似町,未実施,2021/09/30,none,none,none,
1609,北海道,えりも町,未実施,2021/09/30,none,none,none,
1631,北海道,音更町,未実施,2021/09/30,none,none,none,
1632,北海道,士幌町,未実施,2021/09/30,none,none,none,
1633,北海道,上士幌町,未実施,2021/09/30,none,none,none,
1634,北海道,鹿追町,未実施,2021/09/30,none,none,none,
1635,北海道,新得町,未実施,2021/09/30,none,none,none,
1636,北海道,清水町,未実施,2021/09/30,none,none,none,
1637,北海道,芽室町,未実施,2021/09/30,none,none,none,
1638,北海道,中札内村,未実施,2021/09/30,none,none,none,
1639,北海道,更別村,未実施,2021/09/30,none,none,none,
1641,北海道,大樹町,未実施,2021/09/30,none,none,none,
1642,北海道,広尾町,未実施,2021/09/30,none,none,none,
1643,北海道,幕別町,未実施,2021/09/30,none,none,none,
1644,北海道,池田町,未実施,2021/09/30,none,none,none,
1645,北海道,豊頃町,未実施,2021/09/30,none,none,none,
1646,北海道,本別町,未実施,2021/09/30,none,none,none,
1647,北海道,足寄町,未実施,2021/09/30,none,none,none,
1648,北海道,陸別町,未実施,2021/09/30,none,none,none,
1649,北海道,浦幌町,未実施,2021/09/30,none,none,none,
1661,北海道,釧路町,未実施,2021/09/30,none,none,none,
1662,北海道,厚岸町,未実施,2021/09/30,none,none,none,
1663,北海道,浜中町,未実施,2021/09/30,none,none,none,
1667,北海道,鶴居村,未実施,2021/09/30,none,none,none,
1668,北海道,白糠町,未実施,2021/09/30,none,none,none,
1691,北海道,別海町,未実施,2021/09/30,none,none,none,
1692,北海道,中標津町,未実施,2021/09/30,none,none,none,
1693,北海道,標津町,未実施,2021/09/30,none,none,none,
1694,北海道,羅臼町,未実施,2021/09/30,none,none,none,
